"customerid","age","gender","Marital Status","income","transactionid","Date","productid","price","qty","totalamount","storeid","storename","groupstore","Type","latitude","longitude","Product Name"
328,36,0,Married,"10,53",TR11369,"01/01/2022",P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers
165,44,1,Married,"14,58",TR16356,"01/01/2022",P9,10000,7,70000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Yoghurt
183,27,1,Single,"0,18",TR1984,"01/01/2022",P1,8800,4,35200,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar
160,48,1,Married,"12,57",TR35256,"01/01/2022",P1,8800,7,61600,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar
386,33,0,Married,"6,95",TR41231,"01/01/2022",P9,10000,1,10000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt
283,19,1,Single,"0",TR51675,"01/01/2022",P10,15000,1,15000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Cheese Stick
51,36,0,Married,"7,95",TR54287,"01/01/2022",P8,16000,2,32000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat
49,44,1,Married,"13,48",TR67455,"01/01/2022",P5,4200,3,12600,13,Buana,Buana,General Trade,"-1,26916","116,825264",Thai Tea
222,45,0,Married,"15,03",TR73041,"01/01/2022",P9,10000,6,60000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt
270,49,1,Married,"8,81",TR7596,"01/01/2022",P7,9400,2,18800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Coffee Candy
287,36,0,Single,"3,7",TR76340,"01/01/2022",P4,12000,4,48000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Potato Chip
233,43,1,Married,"5,69",TR97336,"01/01/2022",P7,9400,2,18800,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Coffee Candy
123,34,0,Married,"4,36",TR99839,"01/01/2022",P2,3200,6,19200,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Ginger Candy 
203,53,0,Married,"17,2",TR14355,"02/01/2022",P3,7500,4,30000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Crackers
421,35,0,Married,"9,01",TR16534,"02/01/2022",P3,7500,2,15000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Crackers
32,34,0,Married,"10,96",TR2045,"02/01/2022",P7,9400,4,37600,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Coffee Candy
159,53,1,Married,"13,65",TR20925,"02/01/2022",P10,15000,2,30000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Cheese Stick
321,45,0,Married,"8,03",TR26678,"02/01/2022",P6,18000,3,54000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Cashew
335,29,1,Single,"4,74",TR29436,"02/01/2022",P6,18000,3,54000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Cashew
14,58,1,Married,"10,18",TR30993,"02/01/2022",P10,15000,2,30000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Cheese Stick
18,47,0,Married,"13,6",TR33449,"02/01/2022",P6,18000,2,36000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cashew
333,47,0,Married,"17,99",TR34291,"02/01/2022",P7,9400,2,18800,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Coffee Candy
24,37,0,Married,"9,53",TR3533,"02/01/2022",P6,18000,3,54000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cashew
48,32,0,Married,"10,62",TR46701,"02/01/2022",P2,3200,6,19200,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Ginger Candy 
87,44,1,Married,"9,57",TR48742,"02/01/2022",P5,4200,2,8400,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Thai Tea
118,20,1,Single,"3,28",TR63499,"02/01/2022",P1,8800,7,61600,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Choco Bar
250,30,1,Married,"3,96",TR66576,"02/01/2022",P7,9400,5,47000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Coffee Candy
181,33,1,Married,"9,94",TR7826,"02/01/2022",P1,8800,10,88000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Choco Bar
34,45,0,Married,"6,36",TR93759,"02/01/2022",P10,15000,2,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cheese Stick
322,41,0,Married,"20,01",TR10346,"03/01/2022",P3,7500,4,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers
285,20,0,Single,"0",TR13,"03/01/2022",P8,16000,1,16000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Oat
91,59,0,Married,"9,85",TR15573,"03/01/2022",P2,3200,6,19200,13,Buana,Buana,General Trade,"-1,26916","116,825264",Ginger Candy 
78,41,1,Married,"10,34",TR21783,"03/01/2022",P5,4200,5,21000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Thai Tea
218,29,0,Married,"3,52",TR25759,"03/01/2022",P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea
237,35,1,Married,"8,14",TR26782,"03/01/2022",P10,15000,4,60000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick
178,43,0,Married,"9,58",TR27698,"03/01/2022",P6,18000,3,54000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Cashew
144,34,0,Married,"10,01",TR31585,"03/01/2022",P2,3200,3,9600,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Ginger Candy 
117,45,1,Married,"12,55",TR36491,"03/01/2022",P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers
159,53,1,Married,"13,65",TR36846,"03/01/2022",P9,10000,2,20000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Yoghurt
224,29,0,Married,"3,31",TR40890,"03/01/2022",P6,18000,3,54000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Cashew
406,38,1,Married,"8,64",TR45933,"03/01/2022",P4,12000,2,24000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Potato Chip
7,31,0,Married,"4,57",TR45980,"03/01/2022",P3,7500,3,22500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Crackers
